GeneID,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
TmwyK2TRfLF0,135900,140800,143500,140400,138900,50550,49310,45470,52050,52090
9GQzzkxbTmYg,94750,97240,104400,103300,93470,32920,29110,26320,26340,33820
xj6xIMc7m7PM,165700,174600,165900,163500,163100,64330,71500,64040,67620,73210
pzfhxsVn5cd1,280100,254700,244100,255600,258100,105500,115900,73120,79130,86950
YcYpUGMhE2zO,473400,448800,492200,478600,451500,212000,197700,184900,188300,205400
dW2Eqkm8dNKJ,120400,120700,125200,131200,124700,17390,17850,12800,9031,12980
ggQmpAaspuoV,1141000,1103000,1242000,1233000,1143000,56670,41920,13370,19570,19320
j5Xx1fHNLmHb,212700,203600,222500,226100,214700,121300,125800,129400,127600,131600
EzFiINFgxezT,190200,185100,189000,196900,184200,34640,36930,27230,30830,34300
nCDAa5XWHzR3,242100,217500,243200,252600,238500,58320,48230,46470,50700,51810
jEPKf2PA74if,48830,54190,55000,53460,51510,20000,17890,17130,17050,18540
ub9XEFUMmvYh,74810,74840,78670,83110,80470,4340,6301,2350,4310,3124
qsWR060nwvet,427500,413800,417400,426400,376100,116400,106800,104800,83710,95400
YX3dOWPdNX2Q,593700,582200,585500,622600,587600,22120,24780,11560,15890,7418
